ID,RAJ2000,DEJ2000,Rad,R23,ZZ94,ZPP04,sigma,Source,SimbadName
b15,184.73279,47.30519,1.44,2.95,9.03,8.8,0.05,B11,[B2011] 15
b16,184.73413,47.30311,1.49,4.37,8.86,8.63,0.05,B11,[B2011] 16
b17,184.7345,47.29611,2.88,3.89,8.92,8.69,0.05,B11,[B2011] 17
n12,184.746,47.31554,4.01,3.36,8.98,8.75,0.06,new,
b14,184.74383,47.31806,4.11,3.74,8.93,8.71,0.04,"B11, new",[B2011] 14
n14,184.71637,47.31225,4.3,4.15,8.89,8.66,0.08,new,
b13,184.70629,47.32233,5.42,3.83,8.93,8.7,0.04,"B11, new",[B2011] 13
b12,184.74554,47.32517,6.09,4.68,8.82,8.6,0.05,B11,[B2011] 12
b6,184.71271,47.34814,6.48,3.31,8.98,8.76,0.05,B11,[B2011] 6
n3,184.72017,47.34598,6.67,3.89,8.92,8.69,0.08,new,
b5,184.70579,47.35228,6.92,3.61,8.95,8.72,0.04,"B11, new",[B2011] 5
b11,184.73904,47.33453,6.94,3.13,9.01,8.78,0.03,"B11, new",[B2011] 11
b10,184.73562,47.33756,7.02,3.24,8.99,8.77,0.05,B11,[B2011] 10
b9,184.73308,47.34042,7.23,3.53,8.96,8.73,0.04,"B11, new",[B2011] 9
b8,184.73,47.34319,7.36,3.51,8.96,8.73,0.04,"B11, new",[B2011] 8
b4,184.70217,47.35689,7.58,4.36,8.86,8.63,0.04,"B11, new",[B2011] 4
b7,184.72554,47.34731,7.62,2.75,9.05,8.82,0.05,B11,[B2011] 7
b19,184.76483,47.25294,7.92,4.37,8.86,8.63,0.05,B11,[B2011] 19
b20,184.77158,47.25022,7.92,6.31,8.63,8.41,0.05,B11,[B2011] 20
b3,184.73204,47.36508,12.71,5.46,8.73,8.51,0.04,"B11, new",[B2011] 3
n36,184.72037,47.37533,13.12,3.75,8.93,8.71,0.08,new,
b2,184.73025,47.36931,13.37,5.01,8.78,8.56,0.05,B11,[B2011] 2
n2,184.66781,47.32883,13.38,2.96,9.03,8.8,0.06,new,
b1,184.72213,47.37653,13.67,5.25,8.76,8.53,0.05,B11,[B2011] 1
b23,184.76254,47.22711,13.79,6.17,8.65,8.43,0.05,B11,[B2011] 23
n37,184.72482,47.37585,13.95,4.01,8.9,8.68,0.08,new,
b21,184.74704,47.23744,13.97,4.26,8.87,8.64,0.05,B11,[B2011] 21
n33,184.79207,47.20681,14.7,5.12,8.77,8.54,0.08,new,
b27,184.78179,47.21117,14.79,4.37,8.86,8.63,0.05,B11,[B2011] 27
b29,184.80558,47.20044,15.03,5.62,8.71,8.49,0.05,B11,[B2011] 29
b28,184.79075,47.20444,15.28,5.13,8.77,8.54,0.05,B11,[B2011] 28
n10,184.79571,47.20149,15.44,5.0,8.79,8.56,0.08,new,
n32,184.79134,47.20305,15.5,3.57,8.95,8.73,0.08,new,
n9,184.816,47.19271,15.97,8.23,8.4,8.24,0.08,new,
b31,184.80283,47.19433,16.29,6.17,8.65,8.43,0.05,B11,[B2011] 31
b18,184.68275,47.29047,16.35,3.98,8.91,8.68,0.05,B11,[B2011] 18
b32,184.82475,47.18944,16.36,3.47,8.97,8.74,0.05,B11,[B2011] 32
b25,184.8495,47.21756,16.57,5.13,8.77,8.54,0.05,B11,[B2011] 25
b24,184.74621,47.22606,16.73,8.31,8.39,8.23,0.05,B11,[B2011] 24
b26,184.85362,47.21656,17.24,5.01,8.78,8.56,0.05,B11,[B2011] 26
b33,184.83825,47.18361,17.33,7.08,8.54,8.34,0.05,B11,[B2011] 33
n11,184.85562,47.21184,17.49,4.56,8.84,8.61,0.08,new,
b34,184.83187,47.18072,17.61,5.99,8.67,8.45,0.03,"B11, new",[B2011] 34
b22,184.73733,47.22869,17.79,3.71,8.94,8.71,0.05,B11,[B2011] 22
n29,184.83392,47.17906,17.85,4.83,8.81,8.58,0.08,new,
n1,184.64927,47.32124,18.94,5.44,8.73,8.51,0.06,new,
b35,184.79721,47.17956,19.71,5.37,8.74,8.52,0.05,B11,[B2011] 35
b36,184.83121,47.16556,19.97,8.51,8.37,8.22,0.05,B11,[B2011] 36
n26,184.63013,47.33662,21.15,4.14,8.89,8.66,0.08,new,
b30,184.75992,47.19464,21.55,8.14,8.41,8.24,0.04,"B11, new",[B2011] 30
n7,184.61146,47.35218,23.36,3.72,8.94,8.71,0.06,new,
n5,184.62029,47.32604,25.13,5.59,8.71,8.49,0.08,new,
